algo,n,run,time_s
naive_ikj,128,1,0.2510623999987729
naive_ikj,128,2,0.2692585000040708
naive_ikj,128,3,0.28787079999165144
naive_ikj,128,4,0.26356289999966975
naive_ikj,128,5,0.24680609999631997
naive_ikj,256,1,1.8430324999935692
naive_ikj,256,2,1.9747302000032505
naive_ikj,256,3,1.9579926000005798
naive_ikj,256,4,1.8517317000078037
naive_ikj,256,5,1.8477738999936264
naive_ikj,512,1,16.823355599990464
naive_ikj,512,2,14.506008799988194
naive_ikj,512,3,14.599161499994807
naive_ikj,512,4,14.520248500004527
naive_ikj,512,5,14.571342700000969
