algo,n,run,time_s
naive_ijk,64,1,0.01736979999986943
naive_ijk,64,2,0.01775229999475414
naive_ijk,64,3,0.01728220000222791
naive_ijk,64,4,0.019243399998231325
naive_ijk,64,5,0.01963959999557119
naive_ijk,128,1,0.1216407000028994
naive_ijk,128,2,0.12522079999325797
naive_ijk,128,3,0.13488400000642287
naive_ijk,128,4,0.1422253000055207
naive_ijk,128,5,0.1347724000006565
naive_ijk,192,1,0.5293923000062932
naive_ijk,192,2,0.7375338999991072
naive_ijk,192,3,0.7104913000002853
naive_ijk,192,4,0.5319013999978779
naive_ijk,192,5,0.6581365000020014
