language,lib,mode,mtx,n,nnz,cols,run,time_ms
java,pure,spmm,D:\Pulpit\mc2depi\mc2depi.mtx,525825,2100225,16,1,122,838
java,pure,spmm,D:\Pulpit\mc2depi\mc2depi.mtx,525825,2100225,16,2,89,489
java,pure,spmm,D:\Pulpit\mc2depi\mc2depi.mtx,525825,2100225,16,3,97,209
java,pure,spmm,D:\Pulpit\mc2depi\mc2depi.mtx,525825,2100225,16,4,113,746
java,pure,spmm,D:\Pulpit\mc2depi\mc2depi.mtx,525825,2100225,16,5,137,305
